;Lab_ID;year;vineyard;row_ID;unique_rowID;treatment;cover_type;variety;row_disturbance;plot_disturbance;green;dist_type;year.;SOM_perc;CN;N_perc;Cu_mg.kg;Cu_Cat;pH;total_C_perc;clay;sand;plant_cover;plant_spec;plant_simp;plant_shannon;biomass;basal_res;sir;cmic;h2o_perc;wloss_g_perc;wlossr_perc;k;latitude;longitude;elevation;age_trtm;Cu_fungapp;fung_app
6-15;6.15;2015;20;120;120_15;AC;altb;Pinot_noir;3;2;no;chem;2015;5.636128211;-0.539154606;0.291;22.10469565;1;7.26;2.51;15.61258467;36.53326367;41.75;7.25;0.126458968;0.3250597;3.5642;5.398333333;28.459;757.0083333;14.68501326;65.70234594;26.49997872;0.010060419;46.297626;7.517252;723.9;8;1.2;2.8
62-15;62.15;2015;23;123;123_15;CC;green;Chasselas;1;1;green;green;2015;6.555089316;-0.275263306;0.225;41.13930435;1;7.12;1.988;4.848473667;63.28948467;75.125;8.25;0.293619792;0.636377632;4.995;4.337;18.80366667;500.176;14.98679868;72.13518946;32.30666971;0.011390103;46.253698;7.401872;616.7;19;2.333333333;2.333333333
63-15;63.15;2015;23;123;123_15;CC;green;Chasselas;1;1;green;green;2015;6.555089316;-0.275263306;0.225;41.13930435;1;7.12;1.988;4.848473667;63.28948467;75.125;8.25;0.293619792;0.636377632;4.995;4.337;18.80366667;500.176;14.98679868;72.13518946;32.30666971;0.011390103;46.253698;7.401872;616.7;19;2.333333333;2.333333333
64-15;64.15;2015;23;123;123_15;CC;green;Chasselas;1;1;green;green;2015;6.555089316;-0.275263306;0.225;41.13930435;1;7.12;1.988;4.848473667;63.28948467;75.125;8.25;0.293619792;0.636377632;4.995;4.337;18.80366667;500.176;14.98679868;72.13518946;32.30666971;0.011390103;46.253698;7.401872;616.7;19;2.333333333;2.333333333
65-15;65.15;2015;23;123;123_15;CC;green;Chasselas;1;1;green;green;2015;6.555089316;-0.275263306;0.225;41.13930435;1;7.12;1.988;4.848473667;63.28948467;75.125;8.25;0.293619792;0.636377632;4.995;4.337;18.80366667;500.176;14.98679868;72.13518946;32.30666971;0.011390103;46.253698;7.401872;616.7;19;2.333333333;2.333333333
66-15;66.15;2015;23;123;123_15;CC;green;Chasselas;1;1;green;green;2015;6.555089316;-0.275263306;0.225;41.13930435;1;7.12;1.988;4.848473667;63.28948467;75.125;8.25;0.293619792;0.636377632;4.995;4.337;18.80366667;500.176;14.98679868;72.13518946;32.30666971;0.011390103;46.253698;7.401872;616.7;19;2.333333333;2.333333333
7-15;7.15;2015;20;120;120_15;AC;altb;Pinot_noir;3;2;no;chem;2015;5.636128211;-0.539154606;0.291;22.10469565;1;7.26;2.51;15.61258467;36.53326367;41.75;7.25;0.126458968;0.3250597;3.5642;5.398333333;28.459;757.0083333;14.68501326;65.70234594;26.49997872;0.010060419;46.297626;7.517252;723.9;8;1.2;2.8
70-15;70.15;2015;22;122;122_15;aa_BG;aa_bare;Pinot_noir;4;3;no;chem;2015;8.615785594;0.182997864;0.222;65.48347826;2;7.15;2.0425;7.014622667;47.40319933;10.5;4;0.317112281;0.507312255;2.3294;5.493333333;31.69533333;843.092;22.47213115;63.96906069;31.00737024;0.01277319;46.28534;7.51514;555.1;30;2.8;2.8
71-15;71.15;2015;22;122;122_15;aa_BG;aa_bare;Pinot_noir;4;3;no;chem;2015;8.615785594;0.182997864;0.222;65.48347826;2;7.15;2.0425;7.014622667;47.40319933;10.5;4;0.317112281;0.507312255;2.3294;5.493333333;31.69533333;843.092;22.47213115;63.96906069;31.00737024;0.01277319;46.28534;7.51514;555.1;30;2.8;2.8
72-15;72.15;2015;22;122;122_15;aa_BG;aa_bare;Pinot_noir;4;3;no;chem;2015;8.615785594;0.182997864;0.222;65.48347826;2;7.15;2.0425;7.014622667;47.40319933;10.5;4;0.317112281;0.507312255;2.3294;5.493333333;31.69533333;843.092;22.47213115;63.96906069;31.00737024;0.01277319;46.28534;7.51514;555.1;30;2.8;2.8
73-15;73.15;2015;22;122;122_15;aa_BG;aa_bare;Pinot_noir;4;3;no;chem;2015;8.615785594;0.182997864;0.222;65.48347826;2;7.15;2.0425;7.014622667;47.40319933;10.5;4;0.317112281;0.507312255;2.3294;5.493333333;31.69533333;843.092;22.47213115;63.96906069;31.00737024;0.01277319;46.28534;7.51514;555.1;30;2.8;2.8
74-15;74.15;2015;22;122;122_15;aa_BG;aa_bare;Pinot_noir;4;3;no;chem;2015;8.615785594;0.182997864;0.222;65.48347826;2;7.15;2.0425;7.014622667;47.40319933;10.5;4;0.317112281;0.507312255;2.3294;5.493333333;31.69533333;843.092;22.47213115;63.96906069;31.00737024;0.01277319;46.28534;7.51514;555.1;30;2.8;2.8
79-15;79.15;2015;14;114;114_15;AC;altb;Chasselas;3;2;no;chem;2015;11.29964634;-0.342342803;0.28;42.83869565;1;7.07;2.459;6.835674222;44.58132111;14.75;5.5;0.524518141;0.901195878;2.6822;4.830666667;18.969;504.5773333;15.29411765;66.45343056;39.49943865;0.024872907;46.287274;7.513244;618.4;10;NA;3
82-15;82.15;2015;14;114;114_15;AC;altb;Chasselas;3;2;no;chem;2015;11.29964634;-0.342342803;0.28;42.83869565;1;7.07;2.459;6.835674222;44.58132111;14.75;5.5;0.524518141;0.901195878;2.6822;4.830666667;18.969;504.5773333;15.29411765;66.45343056;39.49943865;0.024872907;46.287274;7.513244;618.4;10;NA;3
87-15;87.15;2015;14;214;214_15;AC;altg;Chasselas;2;2;green;chem;2015;8.641090036;-0.435470557;0.363;46.14886957;1;7.13;3.161;6.835674222;44.58132111;60.625;6;0.589808736;1.104214668;12.3842;7.397;56.02966667;1490.392;15.83495146;62.51142134;27.32661552;0.011607027;46.287274;7.513244;618.4;10;NA;3
88-15;88.15;2015;14;214;214_15;AC;altg;Chasselas;2;2;green;chem;2015;8.641090036;-0.435470557;0.363;46.14886957;1;7.13;3.161;6.835674222;44.58132111;60.625;6;0.589808736;1.104214668;12.3842;7.397;56.02966667;1490.392;15.83495146;62.51142134;27.32661552;0.011607027;46.287274;7.513244;618.4;10;NA;3
91-15;91.15;2015;26;126;126_15;aa_BG;aa_bare;Chasselas;4;3;no;chem;2015;23.22;1.648509209;0.656;302.0313043;4;6.69;6.801;4.737177;55.61621267;0.125;2.25;0.5;0;1.5454;8.446;36.41566667;968.655;34.23300971;64.46686981;39.65840532;0.019271442;46.19135;7.22965;533.2;26;2.5;2.5
92-15;92.15;2015;26;126;126_15;aa_BG;aa_bare;Chasselas;4;3;no;chem;2015;23.22;1.648509209;0.656;302.0313043;4;6.69;6.801;4.737177;55.61621267;0.125;2.25;0.5;0;1.5454;8.446;36.41566667;968.655;34.23300971;64.46686981;39.65840532;0.019271442;46.19135;7.22965;533.2;26;2.5;2.5
99-15;99.15;2015;15;115;115_15;CC;green;Chasselas;1;1;green;green;2015;14.2054449;-0.465966778;0.313;87.42443478;2;7.07;2.718;6.798105333;56.51662;66.375;9.5;0.724359325;1.553261599;3.1134;7.228666667;42.08233333;1119.390667;20.36842105;63.47289003;34.72292149;0.019273249;46.295633;7.529339;576.4;21;2.4;2.4
